X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745472.04000092	5205943.25999451	1844.61999512	220.000000	860.000000	295.000000	1993.000000	3799.000000	32	79	30
745470.50000000	5205942.02999878	1846.19995117	403.000000	760.000000	589.000000	1818.000000	3321.000000	74	69	62
745471.37999916	5205941.66000366	1844.34997559	539.000000	1297.000000	925.000000	3060.000000	4841.000000	122	125	86
745471.40999985	5205941.52000427	1845.05004883	604.000000	1460.000000	1042.000000	3313.000000	4920.000000	139	143	97
745470.63999939	5205942.05000305	1845.27001953	458.000000	1311.000000	690.000000	3017.000000	4679.000000	89	127	72
745470.20999908	5205943.11999512	1844.56005859	397.000000	885.000000	669.000000	2123.000000	3629.000000	86	82	61
745472.48999977	5205943.75000000	1844.28002930	382.000000	723.000000	681.000000	1628.000000	3110.000000	88	65	58
745470.36000061	5205943.22999573	1845.22998047	217.000000	563.000000	246.000000	1422.000000	2777.000000	25	48	29
745472.02000046	5205943.25999451	1845.43994141	254.000000	860.000000	292.000000	2115.000000	4083.000000	32	79	36
745472.42000008	5205942.08000183	1844.21997070	499.000000	870.000000	923.000000	1542.000000	2615.000000	122	80	79
745472.22999954	5205941.33999634	1844.04003906	646.000000	1644.000000	1020.000000	3777.000000	5785.000000	136	162	105
745472.72999954	5205942.13999939	1844.01000977	720.000000	1119.000000	1156.000000	2586.000000	4156.000000	155	107	118
745473.09000015	5205942.88000488	1843.91003418	757.000000	1126.000000	1341.000000	2212.000000	3330.000000	182	107	124
745471.89999962	5205944.11000061	1844.69995117	254.000000	738.000000	324.000000	1785.000000	3727.000000	37	66	36
745470.29000092	5205943.08999634	1846.35998535	269.000000	679.000000	332.000000	1824.000000	3723.000000	38	60	38
745471.54999924	5205941.57000732	1845.05004883	547.000000	1184.000000	825.000000	2626.000000	4391.000000	108	114	87
745470.31999969	5205943.24000549	1846.59997559	328.000000	954.000000	447.000000	2415.000000	4197.000000	54	89	49
745471.18000031	5205943.77999878	1845.43994141	211.000000	708.000000	312.000000	1742.000000	3593.000000	35	63	28
745471.26000023	5205943.58999634	1846.34997559	202.000000	584.000000	274.000000	1422.000000	2887.000000	29	50	27
745470.44000053	5205942.24000549	1844.35998535	568.000000	1130.000000	1059.000000	2369.000000	3594.000000	141	108	91
745470.60000038	5205942.05000305	1845.55004883	327.000000	815.000000	496.000000	1753.000000	3451.000000	61	74	49
745470.63999939	5205942.22000122	1844.84997559	405.000000	886.000000	648.000000	2083.000000	3509.000000	83	82	62
745471.79999924	5205941.67999268	1845.22998047	608.000000	1348.000000	776.000000	3003.000000	5213.000000	101	131	98
745470.09000015	5205942.88999939	1844.43005371	596.000000	1378.000000	1067.000000	3042.000000	4877.000000	143	134	96
745471.40999985	5205941.52000427	1845.05004883	604.000000	1460.000000	1042.000000	3313.000000	4920.000000	139	143	97
745470.70000076	5205941.83999634	1845.95996094	510.000000	1403.000000	683.000000	3071.000000	4860.000000	88	137	81
745471.06999969	5205941.05999756	1843.96997070	993.000000	2008.000000	1659.000000	4218.000000	6263.000000	227	201	166
745470.56999969	5205942.25000000	1845.51000977	235.000000	588.000000	306.000000	1495.000000	3021.000000	34	50	32
745470.34000015	5205943.25000000	1845.71997070	208.000000	553.000000	301.000000	1500.000000	2955.000000	33	47	28
745470.28000069	5205943.25000000	1844.79003906	289.000000	716.000000	507.000000	1872.000000	3267.000000	63	64	42
745472.26000023	5205943.13999939	1844.17004395	342.000000	775.000000	633.000000	1731.000000	3152.000000	81	70	51
