X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745527.29999924	5205917.40000153	1829.56005859	763.000000	1864.000000	1078.000000	4002.000000	6096.000000	144	186	125
745528.40999985	5205917.98000336	1829.28002930	1152.000000	1886.000000	1503.000000	3153.000000	4783.000000	205	188	194
745528.20000076	5205917.19000244	1827.89001465	601.000000	2186.000000	779.000000	5186.000000	7853.000000	101	220	97
745527.25000000	5205916.70999908	1828.11999512	579.000000	2102.000000	697.000000	5057.000000	8278.000000	90	211	93
745526.71999931	5205918.19000244	1828.70996094	435.000000	1580.000000	524.000000	3848.000000	6476.000000	65	155	68
745527.11000061	5205918.61000061	1828.75000000	211.000000	806.000000	240.000000	2070.000000	3770.000000	25	73	28
745527.78000069	5205917.59999847	1828.81005859	773.000000	2281.000000	1019.000000	5275.000000	8142.000000	136	230	127
745527.37000084	5205917.52999878	1829.73999023	651.000000	1515.000000	785.000000	3694.000000	5870.000000	102	149	106
745527.72999954	5205917.20999908	1828.06005859	731.000000	2050.000000	950.000000	5149.000000	9023.000000	126	205	120
745526.12000084	5205918.05999756	1829.84997559	374.000000	1571.000000	446.000000	4022.000000	6741.000000	54	155	57
745528.53000069	5205917.77999878	1827.67004395	784.000000	1725.000000	1232.000000	3891.000000	6350.000000	166	171	129
745528.09000015	5205917.83000183	1828.06005859	662.000000	2265.000000	813.000000	5025.000000	8505.000000	106	228	107
745527.50000000	5205917.30000305	1829.59997559	593.000000	2819.000000	709.000000	6501.000000	9754.000000	92	255	95
745527.52000046	5205917.31999969	1828.72998047	751.000000	1641.000000	842.000000	4121.000000	7646.000000	110	162	123
745527.56999969	5205916.76000214	1827.91003418	598.000000	1977.000000	744.000000	4859.000000	8047.000000	96	198	96
745526.45000076	5205918.62000275	1828.76000977	555.000000	1858.000000	713.000000	4369.000000	7286.000000	92	185	89
745527.29999924	5205916.69000244	1828.06994629	529.000000	1977.000000	668.000000	4834.000000	7812.000000	86	198	84
745527.12999916	5205918.54000092	1828.68994141	152.000000	518.000000	178.000000	1361.000000	2946.000000	16	43	18
745526.32999992	5205918.33999634	1829.06005859	477.000000	1593.000000	613.000000	3860.000000	6460.000000	78	157	75
745527.03000069	5205918.70999908	1828.65002441	254.000000	993.000000	305.000000	2412.000000	4241.000000	34	93	36
745528.56999969	5205917.98999786	1827.75000000	676.000000	1702.000000	1045.000000	3816.000000	6868.000000	139	168	110
745527.89999962	5205917.62000275	1828.69995117	759.000000	2221.000000	1020.000000	5011.000000	8081.000000	136	223	125
745528.39999962	5205918.12999725	1827.81994629	631.000000	2143.000000	1072.000000	4754.000000	8305.000000	143	215	102
745527.29999924	5205917.09999847	1828.86999512	593.000000	2184.000000	828.000000	5287.000000	8648.000000	108	220	95
745526.96999931	5205918.30000305	1828.82995605	661.000000	805.000000	820.000000	1553.000000	2639.000000	107	73	107
745526.95999908	5205918.69999695	1828.54003906	267.000000	904.000000	295.000000	2396.000000	4929.000000	32	84	38
745527.78000069	5205917.59999847	1828.81005859	773.000000	2281.000000	1019.000000	5275.000000	8142.000000	136	230	127
745527.45999908	5205919.37999725	1828.39001465	119.000000	380.000000	124.000000	886.000000	2216.000000	8	28	12
745527.42000008	5205916.81999969	1828.07995605	521.000000	2056.000000	599.000000	5011.000000	8269.000000	76	206	83
745527.44000053	5205917.08999634	1828.27001953	575.000000	1914.000000	705.000000	4780.000000	8091.000000	91	191	92
745526.35000038	5205918.52999878	1828.91003418	521.000000	1820.000000	717.000000	4404.000000	7212.000000	93	181	83
745527.78000069	5205917.59999847	1828.81005859	773.000000	2281.000000	1019.000000	5275.000000	8142.000000	136	230	127
745527.63999939	5205917.23999786	1828.22998047	632.000000	1895.000000	874.000000	4817.000000	8443.000000	115	189	102
745527.35000038	5205917.16999817	1829.15002441	740.000000	2494.000000	931.000000	5612.000000	8866.000000	123	252	121
745527.11000061	5205916.76999664	1828.23999023	539.000000	1817.000000	635.000000	4656.000000	8609.000000	81	181	86
745526.30999947	5205918.26999664	1829.31994629	431.000000	1629.000000	495.000000	3871.000000	6588.000000	61	161	67
745526.87999916	5205918.91999817	1828.51000977	284.000000	1004.000000	291.000000	2575.000000	4785.000000	32	94	41
745528.29000092	5205917.62999725	1827.93005371	667.000000	2115.000000	854.000000	5114.000000	8585.000000	112	212	108
745527.28000069	5205916.76000214	1828.13000488	526.000000	2110.000000	624.000000	5133.000000	8355.000000	79	212	84
745528.50000000	5205917.97000122	1827.68994141	665.000000	1959.000000	1084.000000	4431.000000	7547.000000	145	196	108
745528.40999985	5205917.98000336	1829.28002930	1152.000000	1886.000000	1503.000000	3153.000000	4783.000000	205	188	194
745527.85000038	5205917.44999695	1828.18994141	840.000000	2200.000000	1090.000000	5157.000000	8684.000000	146	221	139
745526.26000023	5205918.30999756	1829.16003418	415.000000	1513.000000	543.000000	3762.000000	6486.000000	68	148	64
745527.05999947	5205917.05000305	1829.35998535	1053.000000	1873.000000	1203.000000	3813.000000	6186.000000	162	187	176
745527.29999924	5205916.91999817	1828.25000000	546.000000	2014.000000	618.000000	4922.000000	8114.000000	79	202	87
745527.39999962	5205917.26000214	1829.27001953	1002.000000	1891.000000	1227.000000	3881.000000	6191.000000	165	188	167
745527.12999916	5205918.54000092	1828.68994141	134.000000	429.000000	159.000000	1143.000000	2693.000000	13	33	15
745526.63999939	5205918.54000092	1828.64001465	384.000000	1536.000000	478.000000	3932.000000	6966.000000	59	151	59
745527.56999969	5205916.98999786	1828.04003906	519.000000	1941.000000	612.000000	4792.000000	8280.000000	78	194	82
745527.45000076	5205917.31999969	1829.60998535	606.000000	2736.000000	737.000000	6289.000000	9446.000000	95	255	98
745527.35000038	5205916.90000153	1828.19995117	551.000000	2142.000000	605.000000	5095.000000	8289.000000	77	215	88
745527.51000023	5205919.36000061	1828.38000488	115.000000	362.000000	117.000000	820.000000	2196.000000	7	26	11
745527.05999947	5205918.63999939	1828.64001465	202.000000	706.000000	230.000000	1843.000000	3787.000000	23	63	27
